,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
鯵,あじ　horse mackerel,鯵,horse mackerel,horse mackerel,,,あじ,kunyomi,,67,,,,,,,,,,魚: fish<br>参: nonplussed; three; going; coming; visiting; visit; be defeated; die; be madly in love,,,(none),,"""Fish, visit: Mother to daughter: """"I bought you a hors..."""". The girls started a joyous screaming. """"Let's visit it"""", the girl says. Daughter follows mother to.. the kitchen, showing her the fish she bought. Mother: """"I wanted to tell you that I bought a horse mackerel for dinner!"""".""",The horse mackerel is the fish that is nonplussed – it isn't sure whether it's a horse or a mackerel.,2833,JLPT.N0 Kanji_Nature_Animal_Fish ShouldSuspend gradeS+,11,,
鰯,いわし　sardine,鰯,sardine,"sardine, (kokuji)",,,いわし,kunyomi,,67,,,,,,,,,,魚: fish<br>弱: weak; frail,,,(none),,"""This is a weak fish -- you just open a can of sardines and there they are, weak and defenseless, ready to be eaten.""","""Due to its small size, the sardine is a weak fish.""",2828,JLPT.N0 Kanji_Nature_Animal_Fish ShouldSuspend gradeS+ jinmeiyou,11,,
鰻,うなぎ　eel,鰻,eel,eel,,,うなぎ,kunyomi,,67,,,,,,,,,,魚: fish<br>曼: wide; beautiful,,,(none),,The only fish that Nelson Manadala got to eat in prison was うなぎ eel...sounds like punishment to me!,Manga fish: picture a manga version of an eel and you're done.,2826,JLPT.N0 Kanji_Nature_Animal_Fish ShouldSuspend gradeS+,,,
鱈,たら　codfish,鱈,cod,"codfish, (kokuji)",,,たら,kunyomi,,67,,,,"たら · タラ 【鱈 · 大口魚】gadid (any fish of the family Gadidae, inc. cod, haddock, whiting and pollack)\
でたらめcommon【出鱈目phonetic reading】irresponsible utterance;  nonsense;  bullshit;  codswallop;  
やたらにcommon 【矢鱈に】randomly;  recklessly;  blindly;  —Usually written using kana alone. 例文
たらこ 【鱈子 · たら子】cod roe (roe of any fish from family Gadidae, esp. salted walleye pollack roe) ",,,,,出鱈目(でたらめ): (1) irresponsible utterance; nonsense; bullshit; codswallop (2) random; haphazard; unsystematic<br>矢鱈に(やたらに): randomly; recklessly; blindly,魚: fish<br>雪: snow,,,(none),,Cod is a fish that is packed in snow to reach the inland parts of Japan.,"""たら, cod is a beautiful fish whose flesh is the colour and texture of snow.""",2834,JLPT.N0 Kanji_Nature_Animal_Fish ShouldSuspend gradeS+,,,
鹸,"ケン　lye, saltiness",鹸,lye,saltiness,,ケン、 カン、 セン,,onyomi,,67,,,,,,,,,石鹸(せっけん): soap,鹵: salt<br>僉: all,,,(none),,Lye is white like rocksalt and sharp like an awl.,Lye is white like rocksalt and can be broken up with an ice pick.,2880,JLPT.N0 ShouldSuspend gradeS+,,,
麒,キ　giraffe,麒,giraffe,"Chinese unicorn, genius, giraffe, bright, shining",,キ,,onyomi,,67,,,,,,,,,,鹿: deer<br>其: that,,,(none),,A deer standing on a bushel basket still isn't tall enough to be mistaken for a giraffe.,A giraffe is like a deer except that when it plays chess it has a better overview of the board.,2854,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,,,
麓,ロク　ふもと　foot of a mountain,麓,foot of a mountain,foot of a mountain,,,ふもと,kunyomi,,67,,,,"岳麓　がくろく
山麓　さんろく
麓　ふもと",,,,,麓(ふもと): the foot; the bottom; the base (of a mountain),林: grove; forest<br>鹿: deer,19,鹿,(none),形声 Phonetic,Many deer can be found in the grove at the foot of a mountain.,"Deer are well known for frolicking in groves of trees. However, they are not well known for actually watching where the heck they are bounding about. Here we have a bunch of dead deer bodies that you find at the foot of a mountain. You are trying to figure why there are so many dead deer in one spot, and then you trace a line up the mountain - leaves and such are scattered all the way up...to a grove. Looks like they hopped through some leaves to their doom.",2155,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Nature_Landscape,,,
麟,"リン　giraffe, sage",麟,camelopard,"Chinese unicorn, genius, giraffe, bright, shining",,リン,,onyomi,,67,,,,,,,,,,鹿: deer<br>米: rice; USA; metre<br>舛: dancing radical (no. 136),,,(none),,"""As a scientologist, A DEER to TOM CRUISE, is not just a deer. It is actually a descendent of a camelopard that was sent by extraterrestrials.""","""You saw a camelopard!? Bullshit! Next your going to tell me that you saw a deer getting a shoeshine. (Actually I saw a camelopard getting a shoeshine, but now that you mention it, his body did look like a deer...).""",2210,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou,,,
黴,バイ　かび　か.びる　mold,黴,"mold, mildew","mold, mildew",,,かび、 かび.る、 か.びる,kunyomi,,67,,,,,,,,,,,,,,,,,,,,,
冶,"ヤ　smelting, captivating",冶,metallurgy,melting,smelting,ヤ,い,onyomi,,68,,,,"やきんcommon 【冶金】metallurgy
艶冶　えんや
艶めかしい　なまめかしい",,,,じ,,冫: two-stroke water radical or ice radical (no. 15)<br>台: pedestal; a stand; counter for machines and vehicles,7,冫,(none),形声 Phonetic,The secrets of metallurgy and smithing: get your redhot metal and bang it against the pedestal as an anvil. Then cool it quickly with lots of ice.,An ICE PEDESTAL is useless in METALLURGY since it will just melt.,808,JLPT.N1 gradeS,,,
繭,ケン　まゆ　cocoon,繭,cocoon,cocoon,,ケン,まゆ、きぬ,kunyomi,,68,,,,"まゆcommon 【繭】cocoon 
けんしcommon · きぬいとcommon 【絹糸 · 繭糸】silk thread",,,,,,艸: grass; plants; grass radical (no. 140)<br>冂: upside-down box radical (no. 13)<br>糸: thread<br>虫: insect; bug; temper,18,糸,(none),会意 Compound Ideographic,"This is a simple two-column manga showing the metamorphosis of a caterpillar into a cocoon. First, the caterpillar gets under a large flower (bees tend to hang around flowers, which scare away other predators). Then, in the first frame, we see the caterpillar (insect). Then, a bar separating this frame from the next frame (remember that Japanese manga run the other way!), in which we see the insect covered with thread, making a beautiful cocoon.","The magic flower is the reason why Spider-Man ended up miniaturized and confined inside a hood-like cocoon together with an insect. Now, only a walking stick separates them both.",2025,JLPT.N1 gradeS kanjifreq2001-2500,,,
但,ただ.し　タン　however,但,however,however,but,タン,ただ,kunyomi,,68,,,,"ただcommon 【只 · 唯 · 徒 · 但 · 常】ordinary;  common;  usual;
ただしcommon 【但し】but;  however;  provided that",,,,たじ,但し(ただし): but; however; provided that,人: person<br>旦: daybreak; dawn; morning,7,人,(none),形声 Phonetic,"However drunk Mr T is when he comes back to his place, he always get up at nightbreak. “I pity da foo who gets up after nightbreak !”, says Mr. T.","MR.T leads a busy life, however he always makes sure to be in bed by NIGHTBREAK, however much he might want to stay up watching A-Team re-runs.",1026,JLPT.N1 gradeS kanjifreq2001-2500,,,
頒,ハン　partition,頒,partition,distribute,"disseminate, partition, understand",ハン,わか,onyomi,,68,,,,はんぷcommon 【頒布】distribution,,,,,,分: part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100<br>頁: page; leaf,13,頁,(none),形声 Phonetic,The PART of my HEAD where I remember the KANJI is in the kanji PARTITION.,"The last time I tried to partition a hard drive under Linux, I got a severe migraine that parted my head.",846,JLPT.N1 gradeS kanjifreq2001-2500,,,
肢,シ　limb,肢,limb,limb,arms & legs,シ,,onyomi,,68,,,,"せんたくしcommon 【選択肢】choices;  alternatives;  options
したいcommon 【肢体】limbs;  members;  body
ししcommon 【四肢】limbs;  extremities
したいふじゆうじcommon 【肢体不自由児】physically handicapped child
まえあしcommon 【前足 · 前脚 · 前肢】forefoot;  forefeet;  foreleg;  forelimb 
かしcommon 【下肢】the legs;  lower extremities",,,,,,肉: meat<br>支: branch; support; sustain; branch radical (no. 65),8,肉,(none),形声 Phonetic,"The limbs that this kanji represents are parts of the body that are connected to the trunk, like the main branches to a tree (“arms and legs” is the second meaning of this kanji). In other words, limbs are ""flesh branches"".",Limbs are body parts that branch off.,771,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Body_Arm.Leg,,,
侯,コウ　lord,侯,marquis,marquis,"lord, daimyo",コウ,,onyomi,,68,,,,"こうcommon 【侯】marquis;  lord;  daimyo
こうしゃくcommon 【侯爵】marquis;  marquess;  → 五等爵
おうこうcommon 【王侯 · 王公】king and princes;  noble rank",,,,,,人: person<br>矢: dart; arrow,9,人,(none),会意 Compound Ideographic,"Marquis Keydartee (make-believe french name, Key+dart+T).",(Going off various) Mr. T. is made a marquis and given the key to the city. But somebody disagrees with it and assassinates him with a dart.,1767,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_People_Role.Status,,,
遵,ジュン　abide by,遵,abide by,obey,"abide by, follow, learn",ジュン,,onyomi,,68,,,,じゅんしゅcommon 【順守 · 遵守】compliance;  adherence (to a set of rules);  (religious) observance,,,,,,尊: revered; valuable; precious; noble; exalted<br>辶: walk; walking; road radical variant (no. 162),15,辵,(none),形声 Phonetic,You must abide by the revered rules of the road! No devil´s brew and stay glued to your lane in the road!,Even the most revered person must still abide by the rules of the road -- no exceptions are granted to anyone.,2187,JLPT.N1 gradeS,,,
謄,トウ　mimeograph,謄,facsimilie,copy,mimeograph,トウ,,onyomi,,68,,,,"こせきとうほんcommon 【戸籍謄本】official copy of the family register
とうほんcommon 【謄本】certified copy;  transcript / official copy of the family register  → 戸籍謄本",,,,,,朕: majestic plural; imperial we<br>言: say,17,言,(none),形声 Phonetic,Sending a facsimile to the moon can be problematic only a quarter of the words actually get there.,"As a prank, a guy sits with his butt flesh on the facsimile machine, inserts a quarter, and tries to fax it to his boss. However the facsimile machine has pattern recognition technology and instead of an image of his flesh, it just transmits the word ""asshole"". Don´t forget it´s flesh, not words, on the left side; the flesh image gets transformed into words.",1296,JLPT.N1 gradeS kanjifreq2001-2500,,,
采,"サイ　pick out, form",采,grab,dice,"form, appearance, take, gather, coloring",サイ,と、いろどり,onyomi,,68,,,,"のうさいcommon 【納采】betrothal gift
かっさいcommon 【喝采】acclamation;  applause;  ovation;  cheers 例文
風采　ふうさい",,,,,,爪: claw; nail; talon<br>木: tree; wood,8,釆,(none),会意 Compound Ideographic,"You ever wondered why this appeared as a primitive in so many RTK1 kanji? Well, you should know that once a vulture grabs hold of a tree, he can never let go. Even Heisig couldn´t shake him loose.","A common meaning for this kanji is ´DICE´. --- Ever wonder what vultures do up in the trees? They play DICE. But of course, being vultures, they are always grabbing the dice away from each other.",791,JLPT.N1 gradeS,,,
弐,ニ　ふた　two,弐,II (two),two,"II, second",ニ、ジ,ふた、そえ,onyomi,,68,,,,"に 【弐】two (used in legal documents)
にじゅうcommon 【二十 · 廿 · 弐拾】twenty",,,,,,一: one; one radical (no.1)<br>弋: piling; ceremony radical (no. 56)<br>二: two; two radical (no.2),6,貝,貳,形声 Phonetic,"II (older form of writing 2). After shooting one arrow (the dash top left), I have 2 arrows left in my quiver (bottom left).","Once you have two old arrows left in your quiver, you better start running...!",379,JLPT.N1 gradeS,,,
朕,チン　majestic plural,朕,majestic plural,majestic plural,imperial we,チン,,onyomi,,68,,,,ちん 【朕】We;  Our;  first person pronoun used by royalty 例文,,"ちん 【朕】We;  Our;  first person pronoun used by royalty 例文
ちんおもうに 【朕思うに】expression: ""We, the emperor, ..""",,,,肉: meat<br>天: heavens; sky; imperial,10,月,(none),会意 Compound Ideographic,"The queen is not happy. ""We (majestic plural) are not amused that the hunger for the flesh of the wooly mammoth has caused it's extinction. Poor Charles is particularly upset.","The king says ""Only We are allowed to partake of the flesh of the golden calf."".",2183,JLPT.N1 gradeS,,,
詔,ショウ　みことのり　imperial edict,詔,imperial edict,imperial edict,,ショウ,みことのり,kunyomi,,68,,,,"みことのりcommon 【勅 · 詔】imperial decree;  imperial edict
しょうしょcommon 【詔書】imperial edict;  decree",,,,"さとし, のり",,言: say<br>召: seduce; call; send for; wear; put on; ride in; buy; eat; drink; catch (cold),12,言,(none),形声 Phonetic,"The mnemonic ""words to seduce the masses"" was just too vague and I kept forgetting it. So now instead I picture a seductive female reading aloud the imperial edict to the masses, thus ""seducing"" the masses.",The emperor did not need an imperial edict; his words were more than enough to seduce Anakin to the dark side.,366,JLPT.N1 gradeS kanjifreq2001-2500,,,
壱,イチ　イツ　ひと　one,壱,I (one),one ( in documents),,イチ、イツ,ひとつ,onyomi,,68,,,,いち 【壱】one (used in legal documents) ,,,,"い, かず",,土: soil; earth; ground; Turkey<br>冖: wa-shaped crown radical (no. 14)<br>匕: spoon; spoon or katakana hi radical (no. 21),7,士,壹,象形 Pictographic,"I am ´the one´ , says the samurai with the crown around his waist and a spoon up his a***.",The samurai who has been crowned number one is so good he uses a spoon to fight with rather than a sword.,496,JLPT.N1 gradeS kanjifreq2001-2500,,,
丙,ヘイ　ひのえ　third,丙,third class,3rd,"third class, 3rd calendar sign",ヘイ,ひのえ,onyomi,,68,,,,へいcommon【丙】3rd in rank;  third sign of the Chinese calendar,,,,,,一: one; one radical (no.1)<br>内: inside; within; between; among; house; home,5,一,(none),象形 Pictographic,"In this third class flight, the seatbelts are so bad that with the slightest turbulence all the persons hit the ceiling. (it´s almost pictographic here!).",But third class is so small Mr. T´s head hits the celing.,1096,JLPT.N1 gradeS Kanji_Counting,,,
儒,ジュ　Confucian,儒,Confucian,Confucian,,ジュ,,onyomi,,68,,,,"じゅきょうcommon 【儒教】Confucianism
じゅがくcommon 【儒学】Confucianism",,,,,,人: person<br>需: demand; request; need,16,人,(none),形声 Phonetic,"No more Confucian jibba-jabba! I demand you tell me why it´s raining combs!"".","One day, Mr. T started reading the little proverbs he found in fortune cookies, and with this newfound wisdom he became a Confucian scholar. He was suddenly in high demand as people came from all over to ask for his sage advice, immensely satisfied with suggestions such as, ""You will find happiness with a new love"".",1250,JLPT.N1 gradeS kanjifreq2001-2500 Kanji_Human.Activities_Culture.Art,,,
